Purchase Doc.Num.,Cal. Year/Month,Agreement No Purchas,Automation flag,Direct/Indirect,Material PO text,Material group,Mat.gr.Hier.lvl 1,Material,Vendor,Purchasing group,Catalog Type Ind.,Purchasing doc. type,Company Code,Country of Plant,Counter PO Items,PO Value in Target Currency,PO Net Value in Target Currency,PO Quantity,,,,,,,,,,,,,,,244
P1/2414555667,1.2023,Not assigned,X,D,NACLOssign,38030402,01_I&E,#,8280254,TCD,C,ZAR,1554,PR of China,1,"1,748.74","1,748.74",12 EA,,,,,,,,,,,,,,,
P1/2414555693,1.2023,4600016290,#,I,?  40KG/,30010200,01_IAP,#,7842576,TWI,#,NB,1105,Taiwan,1,"3,879.26","3,879.26",72 PAC,,,,,,,,,,,,,,,
P1/2414555693,1.2023,4600016290,#,I,?x85% 35KG/v,30010200,01_IAP,#,7842576,TWI,#,NB,1105,Taiwan,1,"1,954.33","1,954.33","1,680 KG",,,,,,,,,,,,,,,
P1/2414555841,1.2023,Not assigned,#,I,ACEXC 01.2 13008373,27220200,01_TGS,#,6004584,TCI,#,YK,1554,PR of China,1,"3,315.31","3,315.31",1 PCE,,,,,,,,,,,,,,,
P1/2414555841,1.2023,Not assigned,#,I,MWG 13008373,27220200,01_TGS,#,6004584,TCI,#,YK,1554,PR of China,1,"1,457.28","1,457.28",1 PCE,,,,,,,,,,,,,,,
P1/2414555841,1.2023,Not assigned,#,I,"2S??+10s?	13008373",27220200,01_TGS,#,6004584,TCI,#,YK,1554,PR of China,1,"2,926.70","2,926.70",1 PCE,,,,,,,,,,,,,,,
P1/2414556100,1.2023,4600011443,X,I,IOBC FIRE PROOF DOORS (205)PM_2023Q1,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,"1,487.54","1,487.54",1 AU,,,,,,,,,,,,,,,
P1/2414556101,1.2023,4600011443,X,I,PCS FIRE DOORS (139) PM_2023Q1,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,890.33,890.33,1 AU,,,,,,,,,,,,,,,
P1/2414557235,1.2023,Not assigned,#,#,?`?,98200807,01_BSP,#,11305847,TCS,F,ZAR,1848,PR of China,1,869.84,869.84,1 AU,,,,,,,,,,,,,,,
P1/2414557245,1.2023,Not assigned,#,#,JOB BOARD - 5S,98200807,01_BSP,#,11186962,TCS,F,ZAR,1848,PR of China,1,"6,083.72","6,083.72",1 AU,,,,,,,,,,,,,,,
P1/2414557267,1.2023,4600004998,X,D,"?B???               0000,00 KG C00",97083360,01_IAP,3118073,8294360,TCD,#,NB,1554,PR of China,1,"30,185.60","26,712.92","20,000 KG",,,,,,,,,,,,,,,
P1/2414557280,1.2023,Not assigned,#,D, ot as,26040810,01_TGS,#,11348171,TFI,#,NB,1175,PR of China,1,"6,059.08","6,059.08",12 AU,,,,,,,,,,,,,,,
P1/2414557284,1.2023,Not assigned,#,#,51JOB,98200807,01_BSP,#,8581904,TCS,F,ZAR,1848,PR of China,1,"5,824.84","5,824.84",1 AU,,,,,,,,,,,,,,,
P1/2414557341,1.2023,Not assigned,#,I,DS85RA100ned1 ,23320000,01_TGS,#,11216546,TCI,#,YK,1554,PR of China,1,"6,448.74","6,448.74",1 AU,,,,,,,,,,,,,,,
P1/2414557342,1.2023,Not assigned,#,I,(ot assigned2  ,19019890,01_BSP,#,11324135,TWI,#,YK,1105,Taiwan,1,"22,940.37","22,940.37",1 AU,,,,,,,,,,,,,,,
P1/2414557369,1.2023,Not assigned,#,I,SCREW ELEMENT CAMEL 90-A-80-80 BEIER,36090000,01_TGS,84538877,11358066,TCI,#,NB,1554,PR of China,1,"12,299.60","12,299.60",8 PCE,,,,,,,,,,,,,,,
P1/2414557369,1.2023,Not assigned,#,I,SCREW ELEMENT CAMEL 90-A-TL-40 BEIER,36090000,01_TGS,84538893,11358066,TCI,#,NB,1554,PR of China,1,"1,578.19","1,578.19",1 PCE,,,,,,,,,,,,,,,
P1/2414557369,1.2023,Not assigned,#,I,SCREW ELEMENT CAMEL 90-A-TR-40 BEIER,36090000,01_TGS,84538885,11358066,TCI,#,NB,1554,PR of China,1,"1,578.19","1,578.19",1 PCE,,,,,,,,,,,,,,,
P1/2414557369,1.2023,Not assigned,#,I,SCREW ELEMENT ZE90  90-A-TR-40 BEIERTT4F,36090000,01_TGS,87188095,11358066,TCI,#,NB,1554,PR of China,1,"15,267.80","15,267.80",10 PCE,,,,,,,,,,,,,,,
P1/2414557395,1.2023,Not assigned,#,I,"GATE VALVE S2408YC DN80 PN16 EN1902-1,B1",37010200,01_TGS,14560,7529127,TCI,#,NB,1554,PR of China,1,"8,996.12","8,996.12",1 PCE,,,,,,,,,,,,,,,
P1/2414557399,1.2023,Not assigned,#,I,E531-IA13-FA007 YC ,36030104,01_TGS,#,7465320,TCI,#,YK,1554,PR of China,1,"7,783.77","7,783.77",1 AU,,,,,,,,,,,,,,,
P1/2414557425,1.2023,Not assigned,#,I,(ot assigned,19019890,01_BSP,#,11324135,TWI,#,YK,1105,Taiwan,1,"6,117.43","6,117.43",1 AU,,,,,,,,,,,,,,,
P1/2414557557,1.2023,Not assigned,#,I,ODC SPARE WASTE WATER PUMP,36410100,01_TGS,#,6184731,TCI,#,NB,1554,PR of China,1,"14,327.84","14,327.84",1 SET,,,,,,,,,,,,,,,
P1/2414557818,1.2023,4600011443,X,I,PUR_MDI C457 5E WATER PU,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,337.53,337.53,1 AU,,,,,,,,,,,,,,,
P1/2414557819,1.2023,4600011443,X,I,PUR FIRE PROOF DOORS (160) PM_2023Q1,22280000,01_TGS,#,7149606,TCI,#,YK,1554,PR of China,1,"1,009.85","1,009.85",1 AU,,,,,,,,,,,,,,,
P1/2414559072,1.2023,Not assigned,#,I,20230101-ned2F DOORS (,30010200,01_IAP,#,11395823,TWI,#,FO,1105,Taiwan,1,"6,099.53","6,099.53","50,000 KG",,,,,,,,,,,,,,,
P1/2414559072,1.2023,Not assigned,#,I,20231109-ned2F DOOR,30010200,01_IAP,#,11395823,TWI,#,FO,1105,Taiwan,1,"1,219.91","1,219.91","10,000 KG",,,,,,,,,,,,,,,
P1/2414559105,1.2023,Not assigned,#,I,2023assigned5F,32030000,01_TGS,#,8280254,TCR,F,ZAR,1324,PR of China,1,"6,868.20","6,868.20",1 EA,,,,,,,,,,,,,,,
P1/2414559135,1.2023,Not assigned,#,I,FILTER CARTRIDGE NR:35068243,36520000,01_TGS,19205,7199978,TCI,#,NB,1554,PR of China,1,"1,343.79","1,343.79",2 PCE,,,,,,,,,,,,,,,
P1/2414559135,1.2023,Not assigned,#,I,HOSE PART NO:35056368 W&H,36520000,01_TGS,61333779,7199978,TCI,#,NB,1554,PR of China,1,401.34,401.34,5 PCE,,,,,,,,,,,,,,,
P1/2414559135,1.2023,Not assigned,#,I,PLASTIC STRIP PART NO:30173381 W&H,36520000,01_TGS,61334031,7199978,TCI,#,NB,1554,PR of China,1,592.04,592.04,10 PCE,,,,,,,,,,,,,,,
P1/2414559135,1.2023,Not assigned,#,I,WHEEL  PART NO. 35035121,36520000,01_TGS,11048,7199978,TCI,#,NB,1554,PR of China,1,486.81,486.81,1 PCE,,,,,,,,,,,,,,,
P1/2414559152,1.2023,Not assigned,X,D,H2SO4 signe,38030402,01_I&E,#,8280254,TCD,C,ZAR,1554,PR of China,1,505.69,505.69,2 EA,,,,,,,,,,,,,,,
P1/2414559241,1.2023,Not assigned,#,I,IOBC 014 UPVC+FRP PIPING,37060000,01_TGS,#,7436063,TCI,#,YK,1554,PR of China,1,"40,110.28","40,110.28",1 LOT,,,,,,,,,,,,,,,
P1/2414559357,1.2023,4600016990,X,D,VINYL CAPROLACTAM,97064810,01_IAP,441830,11348552,TWD,#,NB,1105,Taiwan,1,"47,549.59","45,285.33","2,395 KG",,,,,,,,,,,,,,,
P1/2414559358,1.2023,4600016990,X,D,VINYL CAPROLACTAM,97064810,01_IAP,441830,11348552,TWD,#,NB,1105,Taiwan,1,"79,249.32","75,475.54","3,992 KG",,,,,,,,,,,,,,,
P1/2414559373,1.2023,Not assigned,#,I,TDIC2_B585ed3CTAM P,22280000,01_TGS,#,11329899,TCI,#,YK,1554,PR of China,1,721.16,721.16,1 AU,,,,,,,,,,,,,,,
P1/2414559380,1.2023,Not assigned,#,I,"GLS PIPE DN600 L=1215 WITHOUT CLAMP,NO:2",36030104,01_TGS,83336731,7067550,TCI,#,NB,1554,PR of China,1,"13,323.09","13,323.09",2 PCE,,,,,,,,,,,,,,,
P1/2414559380,1.2023,Not assigned,#,I,HEXAGON NUT M24 5-2 DIN934 GALV.,36030104,01_TGS,85453905,7067550,TCI,#,NB,1554,PR of China,1,20.42,20.42,4 PCE,,,,,,,,,,,,,,,
P1/2414559380,1.2023,Not assigned,#,I,STUD BOLT/NUTS M24X130 5.6 DIN 939 GALV.,36030104,01_TGS,85453913,7067550,TCI,#,NB,1554,PR of China,1,"1,524.38","1,524.38",20 PCE,,,,,,,,,,,,,,,
P1/2414559461,1.2023,4600016946,X,D,ACETONE,39021201,01_STC,442489,1618107,TWD,#,NB,1105,Taiwan,1,"3,381.58","3,220.55","3,200 KG",,,,,,,,,,,,,,,
P1/2414559462,1.2023,4600016946,X,D,TOLUENE,39011102,01_STC,442039,1618107,TWD,#,NB,1105,Taiwan,1,"3,965.67","3,776.83","3,440 KG",,,,,,,,,,,,,,,
P1/2414560754,1.2023,Not assigned,#,I,Cot assign,24200000,01_BSP,#,7522831,TCI,F,ZAR,1554,PR of China,1,"5,355.24","5,355.24","60,000 EA",,,,,,,,,,,,,,,
P1/2414560776,1.2023,Not assigned,#,I,"FLOW SWITCH V6EPBBD4B-AT-CV 1-1/4""NPT",27140000,01_TGS,87174507,6277857,TCI,#,NB,1554,PR of China,1,"6,698.18","6,698.18",6 PCE,,,,,,,,,,,,,,,
P1/2414560809,1.2023,Not assigned,#,I,2023assigned,25200000,01_BSP,#,11393849,TWI,#,YK,1105,Taiwan,1,"12,215.08","12,215.08",1 AU,,,,,,,,,,,,,,,
P1/2414560867,1.2023,Not assigned,#,I, LIFELINEned76EPBBD4B-AT-CV,37010900,01_TGS,#,7067535,TCG,#,YK,1705,PR of China,1,"6,905.52","6,905.52",1 SET,,,,,,,,,,,,,,,
